#device_id, rssi_1, snr_1, rssi_2, snr_2, rssi_3, snr_3, spreading_factor, ts, lat, long, alt
2,-77.0,10.5,-115.0,-10.0,-105.0,8.5,10.0,1577059183.173415,42.459754709472555,-9.013894081115723,75.0999984741211
2,-93.0,14.0,-118.0,-9.2,-105.0,10.2,9.0,1577059199.875041,42.45977515355445,-9.013908385230459,87.0999984741211
2,-50.0,15.0,-97.0,13.2,-105.0,10.8,8.0,1577059215.798792,42.45974553598533,-9.01410951151123,83.0
2,-51.0,11.0,-90.0,11.8,-107.0,8.2,7.0,1577059233.709548,42.45937551035155,-9.014344215393055,53.5
2,-58.0,12.2,-109.0,3.5,-97.0,8.2,12.0,1577059253.050009,42.459354155259755,-9.014348983754548,51.599998474121094
2,-85.0,10.0,-112.0,4.0,-107.0,5.5,11.0,1577059270.912349,42.45935272215797,-9.014422415587012,54.400001525878905
2,-58.0,13.5,-97.0,10.2,-112.0,5.2,10.0,1577059288.200885,42.459871520995094,-9.015193939208984,59.5
2,-51.0,8.5,-91.0,11.8,-108.0,7.2,9.0,1577059304.917559,42.47023391723533,-9.015419950021973,50.599998474121094
2,-57.0,14.0,-92.0,14.8,-108.0,8.8,8.0,1577059321.770428,42.47090530395508,-9.015850057138572,57.400001525878905
2,-75.0,13.0,-93.0,13.2,-115.0,1.2,7.0,1577059338.585155,42.471309551855234,-9.01508943939209,51.0
2,-83.0,9.8,-100.0,5.2,-107.0,4.5,12.0,1577059358.059855,42.47175598144531,-9.015591207885742,53.099998474121094
2,-83.0,10.5,-89.0,8.8,-104.0,5.8,11.0,1577059375.888358,42.471595754150155,-9.01735831555039,52.0
2,-78.0,10.0,-92.0,10.8,-99.0,9.0,10.0,1577059393.183158,42.47157287597555,-9.017317771911521,53.900001525878905
2,-85.0,12.2,-89.0,12.0,-105.0,9.8,9.0,1577059409.901759,42.47158432005835,-9.01733112335205,50.5
2,-85.0,14.0,-88.0,13.8,-107.0,10.0,8.0,1577059425.757205,42.47159194945289,-9.01733584539795,59.599998474121094
